                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.59097,                0.49727,                0.84135,                0.98109,                0.99198,                0.99429,                0.86828,                0.57215,                0.45229,                0.83925,              0.0008784,              0.0008784,              0.0008784
                     37,                0.56337,                0.53362,                0.83265,                0.98339,                0.98943,                0.99464,                0.86908,                0.57133,                0.42309,                0.84042,              0.0008775,              0.0008775,              0.0008775
                     38,                0.61599,                0.51151,                0.84952,                0.98186,                0.98683,                0.99464,                0.88226,                0.54648,                0.43595,                0.83209,              0.0008766,              0.0008766,              0.0008766
                     39,                 0.5912,                 0.4794,                 0.8405,                0.98503,                0.98972,                0.99429,                0.88591,                0.54515,                0.40878,                0.82557,              0.0008757,              0.0008757,              0.0008757
                     40,                0.58739,                0.50308,                0.84529,                0.98558,                 0.9867,                0.99464,                0.87955,                0.55054,                0.40259,                0.82894,              0.0008748,              0.0008748,              0.0008748
                     41,                0.59037,                 0.4653,                0.82889,                0.98777,                0.98938,                0.99279,                0.87229,                0.55025,                 0.4362,                0.83518,              0.0008739,              0.0008739,              0.0008739
                     42,                0.58269,                0.47819,                0.83886,                0.97624,                0.99286,                  0.995,                0.88477,                0.53276,                0.41414,                0.82741,               0.000873,               0.000873,               0.000873
                     43,                0.58999,                0.47188,                0.83982,                0.97643,                0.99731,                0.99429,                0.88428,                0.54662,                0.38836,                0.82845,              0.0008721,              0.0008721,              0.0008721
                     44,                0.58476,                0.46433,                0.84077,                0.98077,                0.99466,                0.99464,                0.88795,                0.54768,                0.39281,                0.82561,              0.0008712,              0.0008712,              0.0008712
                     45,                0.59284,                0.46562,                0.82946,                0.97606,                0.99486,                  0.995,                0.88979,                0.54931,                0.38261,                0.82397,              0.0008703,              0.0008703,              0.0008703
                     46,                0.55978,                0.43985,                0.83314,                0.97472,                0.99084,                  0.995,                0.88062,                0.55857,                0.40902,                0.83528,              0.0008694,              0.0008694,              0.0008694
                     47,                0.58502,                0.46683,                0.84435,                0.98199,                0.98514,                0.99279,                0.87333,                0.56731,                0.40107,                0.83827,              0.0008685,              0.0008685,              0.0008685
                     48,                0.56832,                  0.452,                0.83123,                0.98289,                0.98322,                  0.989,                0.87011,                 0.5575,                0.41317,                0.83241,              0.0008676,              0.0008676,              0.0008676
                     49,                0.57715,                0.43422,                0.82608,                0.98326,                0.99409,                0.99314,                0.88412,                 0.5488,                0.37722,                0.82906,              0.0008667,              0.0008667,              0.0008667
                     50,                0.57284,                0.45526,                 0.8495,                0.98652,                0.98917,                0.99464,                0.88307,                0.54396,                0.38385,                0.82837,              0.0008658,              0.0008658,              0.0008658
                     51,                0.56054,                0.44525,                 0.8347,                0.98664,                0.98422,                  0.995,                 0.8849,                0.52346,                0.37598,                0.82171,              0.0008649,              0.0008649,              0.0008649
                     52,                0.57897,                 0.4387,                0.84364,                0.98248,                0.98417,                  0.995,                0.87933,                0.53493,                0.36954,                0.82456,               0.000864,               0.000864,               0.000864
                     53,                0.54436,                0.41901,                0.83232,                0.98189,                0.99362,                0.99429,                0.89144,                0.52576,                0.36371,                0.82005,              0.0008631,              0.0008631,              0.0008631
                     54,                0.53506,                0.41327,                0.82383,                0.99113,                0.98839,                  0.995,                0.88696,                 0.5331,                0.37141,                0.82599,              0.0008622,              0.0008622,              0.0008622
                     55,                0.54717,                0.42532,                0.82565,                0.98783,                0.99292,                0.99429,                0.88438,                 0.5389,                 0.3545,                0.83304,              0.0008613,              0.0008613,              0.0008613
                     56,                0.57415,                0.42975,                0.82762,                0.98325,                0.99234,                 0.9935,                0.86759,                 0.5572,                0.39229,                0.83295,              0.0008604,              0.0008604,              0.0008604
                     57,                0.56952,                0.43234,                0.82574,                0.98629,                0.98963,                0.99464,                0.87399,                0.54412,                0.37749,                0.82862,              0.0008595,              0.0008595,              0.0008595
                     58,                0.56534,                0.43505,                0.83009,                0.98788,                0.99016,                  0.995,                0.87892,                0.54535,                0.37897,                0.83093,             0.00085861,             0.00085861,             0.00085861
                     59,                0.56101,                0.42232,                0.83843,                0.98749,                0.99445,                0.99243,                0.88587,                 0.5316,                 0.3794,                0.82659,             0.00085771,             0.00085771,             0.00085771
                     60,                0.55242,                 0.4149,                0.82699,                0.98442,                0.99585,                0.99279,                0.89161,                0.54067,                0.36076,                0.82606,             0.00085681,             0.00085681,             0.00085681
                     61,                0.55631,                0.40103,                0.82439,                0.98503,                0.99545,                0.99279,                0.88541,                0.54116,                0.36047,                0.82508,             0.00085591,             0.00085591,             0.00085591
                     62,                0.55049,                0.41407,                0.83258,                0.98501,                 0.9968,                0.99393,                0.88118,                0.54049,                0.36835,                0.82884,             0.00085501,             0.00085501,             0.00085501
                     63,                0.56068,                0.40777,                0.82991,                0.98147,                0.99614,                0.99429,                0.88142,                0.53458,                0.35721,                0.82678,             0.00085411,             0.00085411,             0.00085411
                     64,                0.57382,                0.40895,                0.83359,                 0.9853,                0.99319,                0.99393,                0.89032,                0.53626,                0.36291,                0.82443,             0.00085321,             0.00085321,             0.00085321
                     65,                0.53563,                0.40229,                0.83747,                0.98731,                0.99409,                0.98979,                0.88518,                0.53401,                0.35723,                0.82579,             0.00085231,             0.00085231,             0.00085231
